Metric,F1_Score,LCRN_Score,Difference
Engagement,0.48118034754980044,0.579,-0.09781965245019952
Boredom,0.3430171526247553,0.537,-0.19398284737524474
Confusion,0.6120284241504257,0.723,-0.11097157584957429
Frustration,0.691238985847789,0.735,-0.04376101415221101
