Metric,F1_Score,LCRN_Score,Difference
Engagement,0.44645689869110516,0.579,-0.1325431013088948
Boredom,0.3522777639097201,0.537,-0.18472223609027993
Confusion,0.5417640046092408,0.723,-0.18123599539075919
Frustration,0.642677910464774,0.735,-0.09232208953522603
