Metric,F1_Score,LCRN_Score,Difference
Engagement,0.35387973506188225,0.579,-0.2251202649381177
Boredom,0.28567281774828945,0.537,-0.2513271822517106
Confusion,0.5672283800664616,0.723,-0.15577161993353839
Frustration,0.6847322106149669,0.735,-0.05026778938503307
